student id,degree code,complete
60466575,CB001,FALSE
56434247,CB002,TRUE
57173003,CB003,TRUE
21247492,CB004,TRUE
23448572,CB005,FALSE
45428347,CB001,TRUE
87944521,CB002,FALSE
46461115,CB003,FALSE
95114322,CB004,TRUE
94504987,CB005,TRUE
22949573,CB001,TRUE
47984703,CB002,TRUE
93585304,CB003,TRUE
22178886,CB004,FALSE
16112755,CB005,FALSE
42334173,CB001,FALSE
87763316,CB002,FALSE
95872028,CB003,TRUE
69818887,CB004,TRUE
73833359,CB005,TRUE
12451003,CB001,TRUE
74768300,CB002,FALSE
56245087,CB003,TRUE
66530353,CB004,TRUE
41926262,CB005,FALSE
63275861,CB001,FALSE
31121214,CB002,TRUE
13449989,CB003,FALSE
85618749,CB004,TRUE
92209147,CB005,TRUE
